job,marital,education,default,housing,loan,contact,month,poutcome,deposit
services,married,secondary,no,yes,no,unknown,may,unknown,yes
technician,single,secondary,no,yes,no,unknown,may,unknown,yes
admin.,single,secondary,no,yes,yes,unknown,may,unknown,yes
technician,divorced,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,primary,no,yes,yes,unknown,may,unknown,yes
blue-collar,married,unknown,no,yes,no,unknown,may,unknown,yes
blue-collar,married,primary,no,yes,no,unknown,may,unknown,yes
blue-collar,single,primary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,yes
technician,married,secondary,no,yes,no,unknown,may,unknown,yes
management,married,tertiary,no,yes,yes,unknown,may,unknown,yes
blue-collar,single,secondary,yes,yes,no,unknown,may,unknown,yes
technician,single,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,primary,no,yes,no,unknown,may,unknown,yes
management,single,tertiary,no,yes,no,unknown,may,unknown,yes
technician,married,secondary,no,yes,yes,unknown,may,unknown,yes
retired,married,primary,no,no,no,unknown,may,unknown,yes
technician,single,tertiary,no,yes,no,unknown,may,unknown,yes
technician,single,tertiary,no,yes,no,unknown,may,unknown,yes
technician,single,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,primary,no,yes,no,unknown,may,unknown,yes
self-employed,divorced,tertiary,no,yes,no,unknown,may,unknown,yes
blue-collar,single,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,divorced,primary,no,yes,no,unknown,may,unknown,yes
admin.,married,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,yes
management,divorced,tertiary,no,no,no,unknown,may,unknown,yes
blue-collar,married,primary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,yes
technician,married,tertiary,no,yes,no,unknown,may,unknown,yes
technician,divorced,secondary,no,yes,no,unknown,may,unknown,yes
services,married,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,secondary,no,no,no,unknown,may,unknown,yes
self-employed,single,tertiary,no,yes,no,unknown,may,unknown,yes
admin.,single,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,divorced,secondary,no,yes,no,unknown,may,unknown,yes
management,married,tertiary,no,yes,no,unknown,may,unknown,yes
admin.,divorced,secondary,no,yes,no,unknown,may,unknown,yes
admin.,single,secondary,no,yes,no,unknown,may,unknown,yes
management,divorced,tertiary,no,yes,no,unknown,may,unknown,yes
services,married,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,yes
services,single,secondary,no,yes,no,unknown,may,unknown,yes
retired,single,secondary,no,yes,no,unknown,may,unknown,yes
entrepreneur,single,primary,no,yes,yes,unknown,may,unknown,yes
admin.,married,secondary,no,yes,no,unknown,may,unknown,yes
admin.,single,secondary,no,yes,yes,unknown,may,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,yes
services,divorced,secondary,no,yes,yes,unknown,may,unknown,yes
management,married,tertiary,no,no,no,unknown,may,unknown,yes
management,single,tertiary,no,yes,no,unknown,may,unknown,yes
technician,single,secondary,no,yes,no,unknown,may,unknown,yes
services,single,secondary,no,yes,no,unknown,may,unknown,yes
self-employed,single,secondary,no,yes,no,unknown,may,unknown,yes
management,married,secondary,no,yes,no,unknown,may,unknown,yes
services,single,secondary,no,yes,no,unknown,may,unknown,yes
management,single,tertiary,no,yes,no,unknown,may,unknown,yes
student,single,secondary,no,yes,no,unknown,may,unknown,yes
entrepreneur,married,unknown,no,yes,no,unknown,may,unknown,yes
blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,yes
admin.,married,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,yes
unemployed,divorced,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,divorced,secondary,no,yes,no,unknown,may,unknown,yes
technician,married,secondary,no,yes,no,unknown,may,unknown,yes
management,single,tertiary,no,yes,no,unknown,may,unknown,yes
admin.,married,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,divorced,primary,no,yes,no,unknown,may,unknown,yes
blue-collar,single,secondary,no,yes,no,unknown,may,unknown,yes
management,divorced,tertiary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,single,primary,no,yes,no,unknown,may,unknown,yes
management,single,tertiary,no,yes,no,unknown,may,unknown,yes
technician,married,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,single,secondary,no,yes,yes,unknown,may,unknown,yes
management,divorced,secondary,no,yes,no,unknown,may,unknown,yes
management,single,tertiary,no,yes,no,unknown,may,unknown,yes
admin.,divorced,secondary,no,yes,no,unknown,may,unknown,yes
services,married,primary,no,yes,no,unknown,may,unknown,yes
unemployed,divorced,secondary,no,yes,no,unknown,may,unknown,yes
management,divorced,tertiary,no,yes,no,unknown,may,unknown,yes
technician,divorced,secondary,no,yes,no,unknown,may,unknown,yes
technician,divorced,secondary,no,yes,no,unknown,may,unknown,yes
services,married,secondary,no,yes,no,unknown,may,unknown,yes
unemployed,married,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,yes
technician,single,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,divorced,primary,no,yes,no,unknown,may,unknown,yes
management,single,tertiary,no,yes,no,unknown,may,unknown,yes
management,single,tertiary,no,yes,no,unknown,may,unknown,yes
technician,single,secondary,no,yes,no,unknown,may,unknown,yes
unemployed,divorced,primary,no,yes,no,unknown,may,unknown,yes
management,single,tertiary,no,yes,no,unknown,may,unknown,yes
entrepreneur,single,secondary,no,yes,no,unknown,may,unknown,yes
blue-collar,married,primary,no,yes,no,unknown,may,unknown,yes
management,married,tertiary,no,yes,no,unknown,jun,unknown,yes
services,married,secondary,no,yes,no,unknown,jun,unknown,yes
blue-collar,married,primary,no,yes,yes,unknown,jun,unknown,yes
services,married,primary,no,yes,no,unknown,jun,unknown,yes
technician,married,secondary,no,yes,no,unknown,jun,unknown,yes
services,married,secondary,no,yes,no,unknown,jun,unknown,yes
management,single,tertiary,no,yes,no,unknown,jun,unknown,yes
management,married,tertiary,no,yes,no,unknown,jun,unknown,yes
blue-collar,single,secondary,no,yes,no,unknown,jun,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,jun,unknown,yes
technician,single,secondary,yes,yes,no,unknown,jun,unknown,yes
blue-collar,married,primary,no,yes,no,unknown,jun,unknown,yes
blue-collar,single,secondary,no,yes,no,unknown,jun,unknown,yes
management,divorced,tertiary,yes,yes,no,unknown,jun,unknown,yes
technician,single,secondary,no,yes,no,unknown,jun,unknown,yes
unemployed,married,secondary,no,yes,yes,unknown,jun,unknown,yes
self-employed,married,secondary,yes,yes,yes,unknown,jun,unknown,yes
entrepreneur,married,secondary,no,no,no,unknown,jun,unknown,yes
management,single,secondary,no,yes,no,unknown,jun,unknown,yes
services,single,secondary,no,yes,no,unknown,jun,unknown,yes
services,single,secondary,no,yes,no,unknown,jun,unknown,yes
management,married,primary,no,yes,no,unknown,jun,unknown,yes
blue-collar,single,secondary,yes,yes,no,unknown,jun,unknown,yes
blue-collar,divorced,primary,no,yes,no,unknown,jun,unknown,yes
admin.,married,secondary,no,yes,no,unknown,jun,unknown,yes
technician,single,tertiary,no,yes,no,unknown,jun,unknown,yes
management,divorced,secondary,no,yes,no,unknown,jun,unknown,yes
admin.,divorced,secondary,no,yes,no,unknown,jun,unknown,yes
services,single,secondary,no,yes,no,unknown,jun,unknown,yes
blue-collar,married,primary,no,yes,no,unknown,jun,unknown,yes
blue-collar,single,secondary,no,yes,no,unknown,jun,unknown,yes
management,single,tertiary,no,yes,no,unknown,jun,unknown,yes
management,single,tertiary,yes,yes,no,unknown,jun,unknown,yes
services,single,secondary,no,yes,no,unknown,jun,unknown,yes
self-employed,married,tertiary,no,yes,yes,unknown,jun,unknown,yes
blue-collar,married,primary,no,yes,no,unknown,jun,unknown,yes
admin.,divorced,secondary,no,yes,no,unknown,jun,unknown,yes
blue-collar,married,secondary,no,no,no,unknown,jun,unknown,yes
retired,divorced,primary,no,yes,no,unknown,jun,unknown,yes
entrepreneur,married,secondary,no,no,no,unknown,jun,unknown,yes
entrepreneur,married,tertiary,no,no,no,unknown,jun,unknown,yes
management,single,tertiary,no,no,no,unknown,jun,unknown,yes
admin.,single,secondary,no,yes,no,unknown,jun,unknown,yes
blue-collar,single,secondary,no,yes,no,unknown,jun,unknown,yes
management,single,tertiary,no,yes,no,unknown,jun,unknown,yes
services,divorced,secondary,no,no,no,unknown,jun,unknown,yes
housemaid,married,primary,no,no,yes,unknown,jun,unknown,yes
blue-collar,married,secondary,no,no,no,unknown,jun,unknown,yes
housemaid,divorced,primary,yes,no,no,unknown,jun,unknown,yes
housemaid,married,secondary,no,no,no,unknown,jun,unknown,yes
self-employed,married,secondary,no,yes,no,unknown,jun,unknown,yes
technician,married,secondary,no,yes,no,unknown,jun,unknown,yes
blue-collar,divorced,primary,no,no,no,unknown,jun,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,jun,unknown,yes
technician,single,secondary,no,yes,no,unknown,jun,unknown,yes
admin.,married,secondary,no,yes,yes,unknown,jun,unknown,yes
blue-collar,married,unknown,no,no,yes,unknown,jun,unknown,yes
admin.,single,secondary,no,yes,no,unknown,jun,unknown,yes
management,single,tertiary,no,yes,no,unknown,jun,unknown,yes
services,divorced,secondary,no,yes,no,unknown,jun,unknown,yes
technician,married,secondary,no,no,no,unknown,jun,unknown,yes
blue-collar,single,primary,no,yes,no,unknown,jun,unknown,yes
management,single,tertiary,no,no,no,unknown,jun,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,jun,unknown,yes
blue-collar,married,unknown,no,no,no,unknown,jun,unknown,yes
management,divorced,secondary,no,yes,no,unknown,jun,unknown,yes
services,married,secondary,no,no,no,unknown,jun,unknown,yes
management,single,tertiary,no,no,no,unknown,jun,unknown,yes
self-employed,divorced,tertiary,no,no,no,unknown,jun,unknown,yes
technician,married,primary,no,yes,no,unknown,jun,unknown,yes
blue-collar,divorced,primary,no,no,no,unknown,jun,unknown,yes
management,married,secondary,no,no,no,unknown,jun,unknown,yes
blue-collar,married,secondary,no,no,no,unknown,jun,unknown,yes
self-employed,single,tertiary,no,no,no,unknown,jun,unknown,yes
entrepreneur,married,tertiary,no,no,no,unknown,jun,unknown,yes
admin.,single,secondary,no,no,yes,unknown,jun,unknown,yes
admin.,married,secondary,no,no,no,unknown,jun,unknown,yes
management,married,tertiary,no,no,yes,unknown,jun,unknown,yes
housemaid,married,primary,no,no,yes,unknown,jun,unknown,yes
retired,married,unknown,no,no,no,unknown,jun,unknown,yes
retired,married,unknown,no,no,no,unknown,jun,unknown,yes
blue-collar,married,secondary,no,no,no,unknown,jun,unknown,yes
management,married,tertiary,no,no,no,unknown,jun,unknown,yes
blue-collar,divorced,unknown,no,no,no,unknown,jun,unknown,yes
unemployed,married,secondary,no,no,no,unknown,jun,unknown,yes
admin.,single,tertiary,no,no,no,unknown,jun,unknown,yes
blue-collar,married,secondary,no,no,no,unknown,jun,unknown,yes
admin.,married,secondary,no,no,no,unknown,jun,unknown,yes
self-employed,married,tertiary,no,no,no,unknown,jun,unknown,yes
housemaid,single,tertiary,no,no,no,unknown,jun,unknown,yes
management,married,secondary,no,yes,no,unknown,jun,unknown,yes
blue-collar,married,tertiary,no,no,no,unknown,jun,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,jun,unknown,yes
management,divorced,tertiary,no,no,yes,unknown,jun,unknown,yes
blue-collar,single,secondary,yes,yes,no,unknown,jun,unknown,yes
blue-collar,married,primary,no,yes,no,unknown,jun,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,jun,unknown,yes
retired,divorced,tertiary,no,yes,yes,unknown,jun,unknown,yes
entrepreneur,single,unknown,no,no,no,unknown,jun,unknown,yes
services,married,secondary,no,no,no,unknown,jun,unknown,yes
blue-collar,divorced,secondary,no,yes,no,unknown,jun,unknown,yes
unemployed,single,tertiary,no,no,no,unknown,jun,unknown,yes
management,single,secondary,no,yes,no,unknown,jun,unknown,yes
blue-collar,married,secondary,no,no,yes,unknown,jun,unknown,yes
technician,married,secondary,no,yes,no,unknown,jun,unknown,yes
management,married,tertiary,no,no,no,unknown,jun,unknown,yes
entrepreneur,married,tertiary,no,no,no,unknown,jun,unknown,yes
management,married,secondary,no,no,no,unknown,jun,unknown,yes
technician,divorced,tertiary,no,no,no,unknown,jun,unknown,yes
student,single,tertiary,no,no,no,unknown,jun,unknown,yes
management,married,secondary,no,no,no,unknown,jun,unknown,yes
blue-collar,married,primary,no,yes,no,unknown,jun,unknown,yes
management,married,tertiary,no,no,no,unknown,jun,unknown,yes
self-employed,single,tertiary,no,no,no,unknown,jun,unknown,yes
services,divorced,secondary,no,no,no,unknown,jun,unknown,yes
admin.,married,secondary,no,yes,no,unknown,jun,unknown,yes
management,single,tertiary,no,no,no,unknown,jun,unknown,yes
blue-collar,single,primary,no,no,no,unknown,jun,unknown,yes
entrepreneur,married,secondary,no,no,no,unknown,jun,unknown,yes
technician,married,secondary,no,yes,yes,unknown,jun,unknown,yes
admin.,married,secondary,no,no,no,unknown,jun,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,jun,unknown,yes
blue-collar,married,primary,no,no,yes,unknown,jun,unknown,yes
blue-collar,divorced,secondary,no,no,no,unknown,jun,unknown,yes
retired,divorced,secondary,no,no,yes,unknown,jun,unknown,yes
technician,married,secondary,no,no,no,unknown,jun,unknown,yes
housemaid,married,primary,no,no,no,unknown,jun,unknown,yes
services,married,secondary,no,yes,no,unknown,jun,unknown,yes
entrepreneur,married,tertiary,yes,no,no,unknown,jun,unknown,yes
retired,married,primary,no,no,no,unknown,jun,unknown,yes
blue-collar,single,secondary,no,no,no,unknown,jun,unknown,yes
blue-collar,married,primary,no,no,no,unknown,jun,unknown,yes
blue-collar,married,secondary,no,yes,no,unknown,jun,unknown,yes
blue-collar,single,secondary,no,yes,no,unknown,jun,unknown,yes
unemployed,married,primary,no,no,no,unknown,jun,unknown,yes
services,married,secondary,no,no,yes,unknown,jun,unknown,yes
blue-collar,single,secondary,no,yes,no,unknown,jun,unknown,yes
retired,married,tertiary,no,no,no,unknown,jun,unknown,yes
services,married,unknown,no,no,yes,unknown,jun,unknown,yes
management,married,tertiary,no,no,yes,unknown,jun,unknown,yes
management,married,tertiary,no,no,yes,unknown,jun,unknown,yes
blue-collar,single,secondary,no,yes,no,unknown,jun,unknown,yes
technician,married,tertiary,no,no,yes,unknown,jun,unknown,yes
management,married,tertiary,no,yes,yes,unknown,jun,unknown,yes
blue-collar,married,secondary,no,yes,yes,unknown,jun,unknown,yes
services,divorced,secondary,no,no,no,unknown,jun,unknown,yes
blue-collar,single,secondary,no,yes,no,unknown,jun,unknown,yes
management,married,tertiary,no,no,no,unknown,jun,unknown,yes
management,married,secondary,no,yes,no,unknown,jun,unknown,yes
blue-collar,married,secondary,no,yes,yes,unknown,jun,unknown,yes
services,divorced,unknown,no,no,no,unknown,jun,unknown,yes
unemployed,married,tertiary,no,no,no,unknown,jun,unknown,yes
blue-collar,single,secondary,yes,no,no,unknown,jun,unknown,yes
admin.,single,primary,no,yes,no,unknown,jun,unknown,yes
management,married,tertiary,no,yes,no,unknown,jun,unknown,yes
blue-collar,single,primary,no,yes,no,unknown,jun,unknown,yes
blue-collar,married,tertiary,no,yes,no,unknown,jun,unknown,yes
technician,married,tertiary,no,yes,yes,unknown,jun,unknown,yes
admin.,single,secondary,no,no,yes,unknown,jun,unknown,yes
blue-collar,married,primary,no,no,yes,unknown,jun,unknown,yes
admin.,divorced,secondary,no,no,yes,unknown,jun,unknown,yes
blue-collar,single,secondary,no,yes,no,unknown,jul,unknown,yes
technician,single,tertiary,no,no,no,unknown,jul,unknown,yes
technician,single,secondary,no,no,no,unknown,jul,unknown,yes
services,single,secondary,no,no,yes,unknown,jul,unknown,yes
services,married,secondary,no,no,yes,unknown,jul,unknown,yes
technician,married,primary,no,no,no,unknown,jul,unknown,yes
blue-collar,single,secondary,no,yes,no,cellular,jul,unknown,yes
blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,yes
technician,married,secondary,no,no,no,cellular,jul,unknown,yes
technician,single,secondary,no,yes,no,cellular,jul,unknown,yes
blue-collar,divorced,primary,no,yes,no,cellular,jul,unknown,yes
services,single,secondary,no,no,no,cellular,jul,unknown,yes
entrepreneur,divorced,tertiary,no,no,yes,cellular,jul,unknown,yes
technician,married,secondary,no,no,no,cellular,jul,unknown,yes
self-employed,married,secondary,no,no,no,cellular,jul,unknown,yes
unemployed,married,secondary,no,no,no,cellular,jul,unknown,yes
self-employed,single,tertiary,no,no,no,cellular,jul,unknown,yes
technician,single,secondary,no,no,yes,cellular,jul,unknown,yes
admin.,divorced,secondary,no,no,yes,cellular,jul,unknown,yes
blue-collar,single,secondary,yes,yes,yes,cellular,jul,unknown,yes
blue-collar,divorced,primary,no,no,yes,cellular,jul,unknown,yes
technician,single,secondary,no,yes,yes,cellular,jul,unknown,yes
blue-collar,single,secondary,no,no,no,cellular,jul,unknown,yes
management,single,tertiary,no,no,yes,cellular,jul,unknown,yes
entrepreneur,married,secondary,no,yes,yes,cellular,jul,unknown,yes
entrepreneur,married,tertiary,yes,no,no,cellular,jul,unknown,yes
self-employed,single,secondary,no,no,no,cellular,jul,unknown,yes
technician,single,secondary,no,no,yes,cellular,jul,unknown,yes
blue-collar,married,secondary,no,no,yes,cellular,jul,unknown,yes
blue-collar,single,secondary,no,no,yes,cellular,jul,unknown,yes
entrepreneur,divorced,tertiary,no,no,yes,cellular,jul,unknown,yes
management,divorced,tertiary,no,no,yes,cellular,jul,unknown,yes
services,married,secondary,no,no,yes,cellular,jul,unknown,yes
blue-collar,single,secondary,yes,no,yes,cellular,jul,unknown,yes
technician,married,secondary,no,no,no,cellular,jul,unknown,yes
blue-collar,single,secondary,no,no,yes,cellular,jul,unknown,yes
admin.,single,secondary,no,no,yes,cellular,jul,unknown,yes
technician,married,secondary,no,no,yes,cellular,jul,unknown,yes
blue-collar,single,secondary,no,no,yes,cellular,jul,unknown,yes
unemployed,single,secondary,no,no,no,cellular,jul,unknown,yes
blue-collar,married,primary,no,yes,no,cellular,jul,unknown,yes
admin.,married,primary,no,yes,no,cellular,jul,unknown,yes
blue-collar,single,primary,no,no,no,cellular,jul,unknown,yes
services,divorced,tertiary,no,yes,no,cellular,jul,unknown,yes
blue-collar,married,secondary,no,no,yes,cellular,jul,unknown,yes
admin.,divorced,tertiary,yes,no,yes,cellular,jul,unknown,yes
services,divorced,secondary,no,yes,no,cellular,jul,unknown,yes
management,married,tertiary,yes,yes,yes,cellular,jul,unknown,yes
technician,married,secondary,no,no,yes,cellular,jul,unknown,yes
management,married,tertiary,no,yes,yes,cellular,jul,unknown,yes
blue-collar,married,primary,no,yes,yes,cellular,jul,unknown,yes
management,single,tertiary,no,no,yes,cellular,jul,unknown,yes
blue-collar,married,primary,no,no,yes,cellular,jul,unknown,yes
unemployed,single,primary,no,no,yes,cellular,jul,unknown,yes
blue-collar,single,secondary,no,yes,yes,cellular,jul,unknown,yes
blue-collar,married,secondary,no,no,no,cellular,jul,unknown,yes
blue-collar,single,secondary,no,yes,no,cellular,jul,unknown,yes
entrepreneur,married,unknown,no,yes,yes,cellular,jul,unknown,yes
admin.,married,secondary,no,yes,yes,cellular,jul,unknown,yes
admin.,single,secondary,no,no,yes,cellular,jul,unknown,yes
blue-collar,single,secondary,no,no,yes,cellular,jul,unknown,yes
blue-collar,single,secondary,no,yes,no,cellular,jul,unknown,yes
services,married,secondary,no,no,yes,cellular,jul,unknown,yes
services,married,secondary,no,yes,no,cellular,jul,unknown,yes
admin.,divorced,secondary,no,no,no,cellular,jul,unknown,yes
management,married,tertiary,no,yes,no,cellular,jul,unknown,yes
technician,married,secondary,no,no,yes,cellular,jul,unknown,yes
blue-collar,single,primary,no,no,no,cellular,jul,unknown,yes
blue-collar,married,secondary,no,yes,yes,cellular,jul,unknown,yes
management,single,tertiary,no,no,no,cellular,jul,unknown,yes
student,married,primary,no,yes,no,cellular,jul,unknown,yes
blue-collar,single,secondary,no,no,yes,cellular,jul,unknown,yes
blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,yes
retired,divorced,secondary,no,no,no,cellular,jul,unknown,yes
management,married,tertiary,no,yes,no,cellular,jul,unknown,yes
management,single,tertiary,no,yes,no,cellular,jul,unknown,yes
management,divorced,secondary,no,yes,no,cellular,jul,unknown,yes
admin.,married,secondary,no,yes,no,cellular,jul,unknown,yes
technician,married,secondary,no,yes,no,cellular,jul,unknown,yes
admin.,married,secondary,no,yes,no,cellular,jul,unknown,yes
entrepreneur,married,secondary,no,no,yes,cellular,jul,unknown,yes
technician,married,secondary,no,yes,no,cellular,jul,unknown,yes
entrepreneur,married,tertiary,no,yes,no,cellular,jul,unknown,yes
technician,married,secondary,no,no,yes,cellular,jul,unknown,yes
admin.,married,tertiary,no,yes,no,cellular,jul,unknown,yes
admin.,divorced,secondary,no,yes,no,cellular,jul,unknown,yes
services,divorced,secondary,no,no,yes,cellular,jul,unknown,yes
technician,married,secondary,no,yes,no,cellular,jul,unknown,yes
