Name,HP,Attack,Defense,SpAtk,SpDef,Speed
Chespin,56,61,65,48,45,38
Quilladin,61,78,95,56,58,57
Chesnaught,88,107,122,74,75,64
Skiddo,66,65,48,62,57,52
Gogoat,123,100,62,97,81,68
Pidgey,40,45,40,35,35,56
Pidgeotto,63,60,55,50,50,71
Pidgeot,83,80,75,70,70,101
PidgeotMega Pidgeot,83,80,80,135,80,121
Rattata,30,56,35,25,35,72
Raticate,55,81,60,50,70,97
Spearow,40,60,30,31,31,70
Fearow,65,90,65,61,61,100
Jigglypuff,115,45,20,45,25,20
Wigglytuff,140,70,45,85,50,45
Meowth,40,45,35,40,40,90
Persian,65,70,60,65,65,115
Farfetch'd,52,65,55,58,62,60
Doduo,35,85,45,35,35,75
Dodrio,60,110,70,60,60,100
Lickitung,90,55,75,60,75,30
Chansey,250,5,5,35,105,50
Kangaskhan,105,95,80,40,80,90
KangaskhanMega Kangaskhan,105,125,100,60,100,100
Tauros,75,100,95,40,70,110
Ditto,48,48,48,48,48,48
Eevee,55,55,50,45,65,55
Porygon,65,60,70,85,75,40
Snorlax,160,110,65,65,110,30
Sentret,35,46,34,35,45,20
Furret,85,76,64,45,55,90
Hoothoot,60,30,30,36,56,50
Noctowl,100,50,50,76,96,70
Igglybuff,90,30,15,40,20,15
Aipom,55,70,55,40,55,85
Girafarig,70,80,65,90,65,85
Dunsparce,100,70,70,65,65,45
Teddiursa,60,80,50,50,50,40
Ursaring,90,130,75,75,75,55
Porygon2,85,80,90,105,95,60
Stantler,73,95,62,85,65,85
Smeargle,55,20,35,20,45,75
Miltank,95,80,105,40,70,100
Blissey,255,10,10,75,135,55
Zigzagoon,38,30,41,30,41,60
Linoone,78,70,61,50,61,100
Taillow,40,55,30,30,30,85
Swellow,60,85,60,50,50,125
Slakoth,60,60,60,35,35,30
Vigoroth,80,80,80,55,55,90
Slaking,150,160,100,95,65,100
Whismur,64,51,23,51,23,28
Loudred,84,71,43,71,43,48
Exploud,104,91,63,91,73,68
Azurill,50,20,40,20,40,20
Skitty,50,45,45,35,35,50
Delcatty,70,65,65,55,55,70
Spinda,60,60,60,60,60,60
Swablu,45,40,60,40,75,50
Zangoose,73,115,60,60,60,90
Castform,70,70,70,70,70,70
Kecleon,60,90,70,60,120,40
Starly,40,55,30,30,30,60
Staravia,55,75,50,40,40,80
Staraptor,85,120,70,50,60,100
Bidoof,59,45,40,35,40,31
Bibarel,79,85,60,55,60,71
Ambipom,75,100,66,60,66,115
Buneary,55,66,44,44,56,85
Lopunny,65,76,84,54,96,105
LopunnyMega Lopunny,65,136,94,54,96,135
Glameow,49,55,42,42,37,85
Purugly,71,82,64,64,59,112
Happiny,100,5,5,15,65,30
Chatot,76,65,45,92,42,91
Munchlax,135,85,40,40,85,5
Lickilicky,110,85,95,80,95,50
Porygon-Z,85,80,70,135,75,90
Regigigas,110,160,110,80,110,100
Arceus,120,120,120,120,120,120
Patrat,45,55,39,35,39,42
Watchog,60,85,69,60,69,77
Lillipup,45,60,45,25,45,55
Herdier,65,80,65,35,65,60
Stoutland,85,110,90,45,90,80
Pidove,50,55,50,36,30,43
Tranquill,62,77,62,50,42,65
Unfezant,80,115,80,65,55,93
Audino,103,60,86,60,86,50
AudinoMega Audino,103,60,126,80,126,50
Minccino,55,50,40,40,40,75
Cinccino,75,95,60,65,60,115
Deerling,60,60,50,40,50,75
Sawsbuck,80,100,70,60,70,95
Bouffalant,95,110,95,40,95,55
Rufflet,70,83,50,37,50,60
Braviary,100,123,75,57,75,80
MeloettaAria Forme,100,77,77,128,128,90
MeloettaPirouette Forme,100,128,90,77,77,128
Bunnelby,38,36,38,32,36,57
Diggersby,85,56,77,50,77,78
Fletchling,45,50,43,40,38,62
Furfrou,75,80,60,65,90,102
Squirtle,44,48,65,50,64,43
Wartortle,59,63,80,65,80,58
Blastoise,79,83,100,85,105,78
BlastoiseMega Blastoise,79,103,120,135,115,78
Psyduck,50,52,48,65,50,55
Golduck,80,82,78,95,80,85
Poliwag,40,50,40,40,40,90
Poliwhirl,65,65,65,50,50,90
Poliwrath,90,95,95,70,90,70
Tentacool,40,40,35,50,100,70
Tentacruel,80,70,65,80,120,100
Slowpoke,90,65,65,40,40,15
Slowbro,95,75,110,100,80,30
SlowbroMega Slowbro,95,75,180,130,80,30
